MatchID,InningsNo,Team,PlayerName,Overs,Maidens,Runs,Wickets,Wides,NoBalls,Economy,BowlingOrder,TotalLegalBallsBowled,DotBalls,Ones,Twos,Threes,Fours,Sixes,StrikeRate
1,1,KKR,Umesh Yadav,4.0,0,20,2,2,1,5.0,1,24,15,7,0,0,1,1,12.0
1,1,KKR,Shivam Mavi,4.0,0,35,0,1,1,8.75,2,24,12,7,1,0,3,2,0.0
1,1,KKR,Varun Chakaravarthy,4.0,0,23,1,1,0,5.75,3,24,11,10,1,0,1,1,24.0
1,1,KKR,Sunil Narine,4.0,0,15,0,0,0,3.75,4,24,10,13,1,0,0,0,0.0
1,1,KKR,Andre Russell,4.0,0,38,1,0,0,9.5,5,24,7,10,1,0,5,1,24.0
1,2,CSK,Tushar Deshpande,3.0,0,23,0,0,0,7.67,1,18,9,3,2,0,4,0,0.0
1,2,CSK,Adam Milne,2.3,0,19,0,0,0,7.6,2,15,9,1,2,0,2,1,0.0
1,2,CSK,Mitchell Santner,4.0,0,31,1,0,0,7.75,3,24,5,13,4,0,1,1,24.0
1,2,CSK,Dwayne Bravo,4.0,0,20,3,0,0,5.0,4,24,11,10,1,0,2,0,8.0
1,2,CSK,Shivam Dube,1.0,0,11,0,0,0,11.0,5,6,1,3,0,0,3,0,0.0
1,2,CSK,Ravindra Jadeja,4.0,0,25,0,0,0,6.25,6,24,8,13,1,0,1,1,0.0
2,1,DC,Shardul Thakur,4.0,0,47,0,1,0,11.75,1,24,8,8,1,0,3,4,0.0
2,1,DC,Khaleel Ahmed,4.0,0,27,2,0,0,6.75,2,24,13,5,1,0,5,0,12.0
2,1,DC,Axar Patel,4.0,0,40,0,0,0,10.0,3,24,3,14,2,0,4,1,0.0
2,1,DC,Kamlesh Nagarkoti,2.0,0,29,0,1,0,14.5,4,12,4,2,0,0,5,1,0.0
2,1,DC,Kuldeep Yadav,4.0,0,18,3,0,0,4.5,5,24,8,14,2,0,0,0,8.0
2,1,DC,Lalit Yadav,2.0,0,15,0,0,0,7.5,6,12,2,7,2,0,1,0,0.0
2,2,MI,Daniel Sams,4.0,0,57,0,2,0,14.25,1,24,4,9,2,0,6,3,0.0
2,2,MI,Jasprit Bumrah,3.2,0,43,0,0,0,12.9,2,20,4,7,1,0,7,1,0.0
2,2,MI,Basil Thampi,4.0,0,35,3,3,0,8.75,3,24,11,7,1,1,3,2,8.0
2,2,MI,Murugan Ashwin,4.0,0,14,2,0,0,3.5,4,24,14,8,1,0,1,0,12.0
2,2,MI,Tymal Mills,3.0,0,26,1,2,0,8.67,5,18,6,8,1,0,2,1,18.0
3,1,PBSK,Sandeep Sharma,4.0,0,37,0,0,0,9.25,1,24,10,7,1,0,4,2,0.0
